"ID","PDM_Type","KProto_k2","KProto_k3"
1,"Progressive Design-Build",2,2
2,"Progressive Design-Build",1,2
3,"Progressive Design-Build",2,3
4,"Construction Manager @ Risk",1,2
5,"Construction Manager @ Risk",2,3
6,"Construction Manager @ Risk",1,2
7,"Design-Build",2,3
8,"Construction Manager @ Risk",1,1
9,"Construction Manager @ Risk",2,3
10,"Integrated Project Delivery (IPD)",1,1
11,"Integrated Project Delivery (IPD)",1,2
12,"Integrated Project Delivery (IPD)",1,2
13,"Integrated Project Delivery (IPD)",1,2
14,"Integrated Project Delivery (IPD)",1,2
15,"Design-Build",1,2
16,"Integrated Project Delivery (IPD)",1,2
17,"Construction Manager @ Risk",1,1
18,"Construction Manager @ Risk",2,3
19,"Integrated Project Delivery (IPD)",1,2
20,"Construction Manager @ Risk",1,2
21,"Construction Manager @ Risk",2,3
22,"Design-Bid-Build",1,2
23,"Design-Build",2,3
24,"Integrated Project Delivery (IPD)",1,1
25,"Construction Manager @ Risk",1,1
26,"Progressive Design-Build",2,1
27,"Design-Bid-Build",2,3
28,"Construction Manager @ Risk",1,2
29,"Integrated Project Delivery (IPD)",1,3
30,"Design-Build",1,2
31,"Design-Build",1,2
32,"Progressive Design-Build",1,2
33,"Design-Build",2,3
34,"Progressive Design-Build",1,2
35,"Construction Manager @ Risk",1,2
36,"Design-Bid-Build",1,2
37,"Design-Build",2,3
38,"Design-Bid-Build",2,2
39,"Construction Manager @ Risk",1,2
40,"Construction Manager @ Risk",2,3
41,"Design-Bid-Build",1,2
42,"Construction Manager @ Risk",1,2
43,"Construction Manager @ Risk",2,2
44,"Construction Manager @ Risk",1,2
45,"Construction Manager @ Risk",1,2
46,"Design-Bid-Build",1,2
47,"Construction Manager @ Risk",1,1
48,"Design-Bid-Build",1,2
49,"Construction Manager @ Risk",1,2
50,"Construction Manager @ Risk",1,2
51,"Construction Manager @ Risk",2,1
52,"Integrated Project Delivery (IPD)",1,1
53,"Design-Bid-Build",1,2
54,"Construction Manager @ Risk",1,2
55,"Design-Build",1,2
56,"Design-Build",1,2
57,"Design-Bid-Build",2,2
58,"Design-Build",2,3
59,"Design-Build",1,2
60,"Design-Build",1,2
61,"Construction Manager @ Risk",1,2
62,"Design-Build",1,2
63,"Design-Bid-Build",1,1
65,"Progressive Design-Build",1,2
66,"Design-Bid-Build",1,2
67,"Design-Build",1,1
68,"Design-Bid-Build",2,3
69,"Design-Build",1,2
70,"Design-Bid-Build",1,2
71,"Design-Build",1,2
72,"Design-Build",1,3
73,"Construction Manager @ Risk",2,3
74,"Design-Build",2,3
75,"Design-Bid-Build",1,2
76,"Design-Build",1,2
77,"Construction Manager @ Risk",2,3
78,"Design-Build",1,2
79,"Design-Bid-Build",2,3
80,"Progressive Design-Build",1,2
81,"Design-Build",1,2
82,"Design-Build",1,2
83,"Design-Build",1,2
84,"Design-Build",1,2
85,"Design-Bid-Build",1,2
86,"Progressive Design-Build",1,2
87,"Design-Build",2,3
88,"Design-Build",2,3
89,"Progressive Design-Build",2,3
90,"Design-Bid-Build",1,2
91,"Design-Bid-Build",2,3
92,"Design-Bid-Build",1,2
93,"Design-Bid-Build",1,2
94,"Design-Build",1,2
95,"Design-Build",2,3
96,"Design-Build",1,2
97,"Design-Build",1,2
98,"Design-Bid-Build",2,3
99,"Design-Bid-Build",1,2
100,"Progressive Design-Build",1,2
101,"Design-Build",1,2
102,"Design-Build",2,3
103,"Design-Build",1,2
104,"Design-Bid-Build",2,3
105,"Design-Build",2,3
106,"Design-Build",2,3
107,"Design-Build",1,2
108,"Design-Bid-Build",1,2
109,"Design-Build",1,1
